hex_id;Geocodigo_Setor;Distrito;Intersect_Area
100x242;355030862000025;PINHEIROS;3868689088854.501
100x243;355030862000025;PINHEIROS;38061380957549.59
100x244;355030862000025;PINHEIROS;14949074474450.102
101x243;355030862000025;PINHEIROS;30119433818192.387
101x244;355030862000025;PINHEIROS;104225657316424.64
101x242;355030862000026;PINHEIROS;55297858857970.57
101x243;355030862000026;PINHEIROS;210209296733840.06
101x244;355030862000026;PINHEIROS;3009868011376.4307
102x242;355030862000026;PINHEIROS;43965525059836.76
102x243;355030862000026;PINHEIROS;95776483560140.73
102x242;355030862000027;PINHEIROS;15887241055158.934
102x243;355030862000027;PINHEIROS;75250605724450.36
102x244;355030862000027;PINHEIROS;11018027727208.79
103x242;355030862000027;PINHEIROS;67416119371618.26
103x243;355030862000027;PINHEIROS;116508136929294.7
103x244;355030862000027;PINHEIROS;111886297451427.4
104x242;355030862000027;PINHEIROS;562118675186.7102
103x243;355030862000028;PINHEIROS;107195629043614.12
104x242;355030862000028;PINHEIROS;46730208693001.03
104x243;355030862000028;PINHEIROS;124567038134520.77
105x243;355030862000028;PINHEIROS;26592207789477.258
105x244;355030862000028;PINHEIROS;15774473052.20658
104x241;355030862000029;PINHEIROS;402165718771.70374
105x241;355030862000029;PINHEIROS;64066966155065.9
105x242;355030862000029;PINHEIROS;14863981788187.559
105x240;355030862000030;PINHEIROS;94740195131297.6
105x241;355030862000030;PINHEIROS;78828519247904.56
106x239;355030862000030;PINHEIROS;4548851645275.789
106x240;355030862000030;PINHEIROS;4267626945031.0103
105x240;355030862000031;PINHEIROS;15195978847527.61
106x239;355030862000031;PINHEIROS;11823386522463.271
106x240;355030862000031;PINHEIROS;40116414209344.38
104x240;355030862000032;PINHEIROS;7226433003323.213
105x240;355030862000032;PINHEIROS;71699183238839.02
105x241;355030862000032;PINHEIROS;7019407929006.806
104x240;355030862000033;PINHEIROS;6722339167324.342
105x239;355030862000033;PINHEIROS;1979496965240.6401
105x240;355030862000033;PINHEIROS;90350311736898.6
104x239;355030862000034;PINHEIROS;24224685266550.105
104x240;355030862000034;PINHEIROS;12802972197682.9
105x239;355030862000034;PINHEIROS;32183394495195.9
105x240;355030862000034;PINHEIROS;16476338808967.719
104x239;355030862000035;PINHEIROS;14649303165970.318
104x240;355030862000035;PINHEIROS;772883954560.3081
104x238;355030862000036;PINHEIROS;104752078227433.28
104x239;355030862000036;PINHEIROS;4705331268659.528
105x238;355030862000036;PINHEIROS;37711216350118.22
105x239;355030862000036;PINHEIROS;42614420880359.414
104x237;355030862000037;PINHEIROS;11198781225632.605
104x238;355030862000037;PINHEIROS;100037828937821.14
105x238;355030862000037;PINHEIROS;146036515936.8745
103x237;355030862000038;PINHEIROS;64592125143339.49
103x238;355030862000038;PINHEIROS;16304435619311.258
104x236;355030862000038;PINHEIROS;87052165693.36809
104x237;355030862000038;PINHEIROS;155189561976828.16
104x238;355030862000038;PINHEIROS;1374204984959.4143
105x237;355030862000038;PINHEIROS;50575429692.40763
105x238;355030862000038;PINHEIROS;130749299370187.78
102x237;355030862000039;PINHEIROS;110221802356926.58
103x237;355030862000039;PINHEIROS;3103091483415.2505
103x238;355030862000039;PINHEIROS;173117816538587.1
101x237;355030862000040;PINHEIROS;1369630098946.9773
101x238;355030862000040;PINHEIROS;61970754177967.805
101x239;355030862000040;PINHEIROS;7040466561580.947
102x237;355030862000040;PINHEIROS;55940056696390.01
99x237;355030862000041;PINHEIROS;1064413147864.1698
99x238;355030862000041;PINHEIROS;293157144649.431
100x237;355030862000041;PINHEIROS;203124842680096.5
100x238;355030862000041;PINHEIROS;4653589265383.356
101x237;355030862000041;PINHEIROS;18765973767981.906
101x238;355030862000041;PINHEIROS;133779464542576.33
98x237;355030862000042;PINHEIROS;41735393871948.086
99x237;355030862000042;PINHEIROS;7125855754663.086
99x238;355030862000042;PINHEIROS;218871214248538.1
