Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;21/06/2018;0000;20.2;16.8;70;931.4;14;1.6;0;
83781;21/06/2018;1200;17;15;81;931;5;1.6;4;
83781;21/06/2018;1800;25.4;17;41;928.9;36;4;7;
83781;22/06/2018;0000;21.4;15.8;55;930.3;32;1.3;6;
83781;22/06/2018;1200;18.6;15.2;69;931;36;2;9;
83781;22/06/2018;1800;24.5;15.5;36;927.9;36;1.6;7;
83781;23/06/2018;0000;18.7;15.4;67;929.4;14;1.6;9;
83781;23/06/2018;1200;17.8;15;73;929.7;14;1.6;10;
83781;23/06/2018;1800;25.7;17.3;40;926.7;32;3;8;
83781;24/06/2018;0000;21.3;17.2;64;928.8;9;1;10;
83781;24/06/2018;1200;21.4;16.9;62;929.6;18;1.6;9;
83781;24/06/2018;1800;28.3;17.4;32;926.5;27;2.6;8;
83781;25/06/2018;0000;18.1;16.8;87;928.6;14;2.1;1;
83781;25/06/2018;1200;18.2;16.3;82;928.4;0;0;0;
83781;25/06/2018;1800;27;16.5;31;926;32;4.1;5;
83781;26/06/2018;0000;22.2;15.3;46;926.2;14;1.6;0;
83781;26/06/2018;1200;22.2;15.5;48;928.2;18;0.8;8;
83781;26/06/2018;1800;26.3;15.7;30;925.1;36;2.5;10;
83781;27/06/2018;0000;21;15;51;927.5;36;1.6;0;
83781;27/06/2018;1200;18.2;14.3;64;930;14;1.6;9;
83781;27/06/2018;1800;22;17.3;61;928.2;14;2.8;6;
83781;28/06/2018;0000;18;15.9;79;929.4;14;1.3;8;
83781;28/06/2018;1200;17.5;15.7;83;931;9;2.5;10;
83781;28/06/2018;1800;25.4;18.5;51;928;14;0.7;10;
83781;29/06/2018;0000;19.6;16.6;73;928.9;5;1.6;8;
83781;29/06/2018;1200;18.2;15.3;73;929.5;5;1.6;1;
83781;29/06/2018;1800;25.7;16.6;37;926.8;32;2.3;0;
83781;30/06/2018;0000;20.5;15.7;60;926.8;27;2;0;
83781;30/06/2018;1200;17.4;14.3;70;927.1;0;0;8;
83781;30/06/2018;1800;26.8;12.9;40;925.2;0;0;7;
83781;01/07/2018;0000;20.8;17.1;89;926.1;14;2;0;
83781;01/07/2018;1200;17.4;;80;928.5;0;0;0;
83781;01/07/2018;1800;26.8;;38;927.8;14;1.54332;6.25;
83781;02/07/2018;0000;21.5;;64;925.3;0;0;0;
83781;02/07/2018;1200;17.4;;75;927.1;27;0.51444;8.75;
83781;02/07/2018;1800;27.1;;33;924.7;32;2.05776;7.5;
83781;03/07/2018;0000;22.4;;47;925.7;5;1.54332;0;
83781;03/07/2018;1200;19.3;;66;928.1;27;1.54332;0;
83781;03/07/2018;1800;20.2;;74;927.9;9;4.11552;10;
83781;04/07/2018;0000;16.7;;86;929.3;18;2.05776;10;
83781;04/07/2018;1200;16.5;;90;920.9;14;3.08664;10;
83781;04/07/2018;1800;22.8;;63;927.3;18;2.05776;8.75;
83781;05/07/2018;0000;17;;91;928.6;14;2.5722;0;
83781;05/07/2018;1200;15.8;;97;930;14;3.08664;10;
83781;05/07/2018;1800;28.3;;35;928;32;1.02888;8.75;
83781;06/07/2018;0000;20.9;;68;928.5;0;0;6.25;
83781;06/07/2018;1200;16.9;;78;930.3;9;1.54332;10;
83781;06/07/2018;1800;26.6;;34;928.3;23;1.54332;7.5;
83781;07/07/2018;0000;20.6;;61;929;0;0;0;
83781;07/07/2018;1200;18.3;;74;929.7;0;0;8.75;
83781;07/07/2018;1800;25.2;;35;926;32;4.62996;8.75;
83781;08/07/2018;0000;20;;56;927.5;32;1.02888;0;
83781;08/07/2018;1200;19.6;;58;928;23;0.51444;3.75;
83781;08/07/2018;1800;27.3;;33;926;23;3.08664;5;
83781;09/07/2018;0000;21.2;;56;927.3;0;0;2.5;
83781;09/07/2018;1200;18.2;;80;928.9;14;1.54332;10;
83781;09/07/2018;1800;24.4;;43;926.2;32;5.1444;8.75;
83781;10/07/2018;0000;15.5;;83;929;14;3.08664;10;
83781;10/07/2018;1200;12.2;;75;930.9;18;2.5722;10;
83781;10/07/2018;1800;12.6;;77;929.7;18;2.5722;10;
83781;11/07/2018;0000;11;;83;931.9;18;1.54332;10;
83781;11/07/2018;1200;11.3;;86;932.1;23;1.54332;10;
83781;11/07/2018;1800;15.2;;60;930.6;14;3.08664;8.75;
83781;12/07/2018;0000;11.2;;88;932.5;14;1.54332;1.25;
83781;12/07/2018;1200;11.1;;71;933.1;9;3.08664;8.75;
83781;12/07/2018;1800;19;;44;929.8;23;1.02888;5;
83781;13/07/2018;0000;12.4;;84;933.4;9;1.02888;10;
83781;13/07/2018;1200;11;;85;930.6;9;1.54332;2.5;
83781;13/07/2018;1800;23;;57;927.9;23;1.54332;2.5;
83781;14/07/2018;0000;17.5;;68;929.4;0;0;6.25;
83781;14/07/2018;1200;17;;62;930.6;0;0;2.5;
83781;14/07/2018;1800;26.2;;33;926.9;0;0;0;
83781;15/07/2018;0000;19.4;;60;927.6;14;1.54332;0;
83781;15/07/2018;1200;17;;68;929.9;0;0;0;
83781;15/07/2018;1800;27.3;;30;937.4;27;1.54332;0;
83781;16/07/2018;0000;21.8;;52;927.2;0;0;0;
83781;16/07/2018;1200;17.8;;67;931.2;0;0;0;
