station_id,station_name,hex_id
8437798d91a3747c0e02cfe649a4da64,4 - Rua Diogo Moreira,100x236
0653ceda4ca39f7d20d4e5f094f69490,216 - João Moura 328,109x240
9464508b2e4316daa5dd3101f27bd70a,202 - Arruda Alvim,110x243
a264a327062f179272bc433cca140e27,106 - Rua Florida,101x216
1b67ed170a4d0eb55cc4cd02048b6e60,46 - Rua General Fonseca Telles,114x231
88eb33722f44dbfa2d14448a73146d0d,66 - Praça Domingos Delascio,117x233
33142afea930cc3f6a84bebc9371b1db,122 - Rua Baluarte,109x220
3992c0ba37ef226cfc767b1b38783492,14 - Casa Brasileira,104x230
b8e242e6cc1b429a2cfcbfffd2724920,45 - Marechal Bitencourt,116x231
6dc5bf2e566ebca07ead5e692651756e,103 - Rua Hans Oerted,99x216
f1075869a33b386e71d1d258aec78834,218 - Cemitério Cardeal,105x242
ac53bd0b59843638d88fc80bc36331b4,226 - Fradique Coutinho 941,102x241
67e2474c12c4e76e640724b6b2df9f47,12 - Largo de Batata II,99x238
ab1e9abfe32760aa579e3117d1379d23,235 - CETESB,95x241
54ac2868522c45fe557701a7479a9352,47 - Suzano,112x231
9d111e4786bb8a82d3ec943b746ada17,42 - Hotel Unique,114x229
ca0efc8075b809b6044394a9e6fcb468,121 - Insper,108x221
d3228d9115241f4a7b64af3e37aa3d6c,118 - Rua Júlio Diniz,105x222
dcdb0e47fb7f5da965ab086389decf20,18 - Itaú Faria Lima,105x228
47427f9510e45a259ea837886d1a2da5,119 - Rua Quatá,107x222
317091c983c9708b98358028cea1e56a,72 - Queluz,118x234
8cfa4f29685bfe33000124a4b2120bbf,219 - Rua Joaquim Antunes,105x240
711ed7b509e2f45c0a331d0b753050af,20 - CPTM Cidade Jardim,101x228
36968bf81acf4538806aaac18619d2a9,120 - Rua Gomes de Carvalho,107x221
e8db6e3a9d079cff318672b15bde7b7e,113 - Rua Andrade Pertence,108x218
cce41be753575b400b18adfa3e6aa6f8,61 - Venezuela,110x237
3634427f0d34308a6f668b4b25809461,123 - Rua Egito,110x223
3fbf5c644236a6ed5162e9977843a8cf,241 - CPTM Cidade Universitária,90x242
69b1b0b07a538b3ff6a2341d95ebdd71,48 - Itacema,110x231
2c8c7ba223a12aa424f570f944b3da21,21 - Parque do Povo portão 1,102x226
a184be7cebbd19aeaf8f06533b75a637,222 - Rua Horácio Lane,103x242
98e4a18c08cdf62ce352fb2ac995d61f,133 - Avenida Ibirapuera,120x223
44882e0c74acb2b0ae6bca5b2f62a896,32 - Pq. Ibirapuera Portão 07,114x225
11371a861ede1ad594367e1e48424eb1,73 - Ginásio Ibirapuera,120x233
d1909e7c217987c742de3610a52e0e73,75 - Viaduto Tutóia,123x231
8169e7c9f9eb302a5f7e65eb4c471b6a,100 - Itaú Cultural,125x236
4aa780c04d73a9bf4edcc9ec7f00831d,31 - Jacques Felix,111x225
773afb611e38af1a96db7e5905565c6d,149 - Rua Afonso de Freitas,126x233
a6d61a23267a2600f4d045744a969ef6,126 - Graúna,111x220
903edb1c522050547a4cb303d4930134,129 - Sabiá,114x220
e47c90f3fc2c0bf58240a3c666454225,124 - Praça PereIra Coutinho,112x223
56aea28d68c9954c8332ccefb336b774,96 - Tutóia,122x234
42b2966fae259c488ce432dbe7bfac70,44 - Pq. Ibirapuera Portão 09,118x231
a92e6a94f00f6a4d32f064e5b559aa07,132 - Pq. Ibirapuera Portão 05,120x224
3057225cf52c188f4fbf10017c5fd232,70 - Alameda Casa Branca,117x237
aab050b120ca57dfbe124f6201d6395a,13 - Esporte Clube Pinheiros Funcionários,101x231
160414bc34f6010b07361044a0be9cc5,49 - Tapinás,108x230
c07a5625db2c37d2bf883be0732affd4,231 - Instituto Tomie Ohtake,98x240
d82bbcc07e046768932953b0937145e2,41 - Paróquia São Gabriel,112x230
003c832d084651a62af515b0a330eb55,239 - Avenida Antônio Batuira,92x242
0550eb4a3fe8ad2b4a47bcd87fa2c38a,238 - Avenida dos Semaneiros,93x244
baa3b7d5cea17c3448c4754bcac1a469,240 - Praça Panamericana,92x244
bd233a0384da561caa9394e82cb3d4b8,63 - Club Athletico Paulistano,113x237
5d601ec3033419246cb37726e01f1a5d,33 - Pq. Ibirapuera Portão 08,114x227
